seat_id,table_id,brightness,noise,seat_x,seat_y,seat_available
1,1,58,42,1.5,1.5,True
2,1,66,28,2.5,1.5,True
3,1,89,81,1.5,2.5,True
4,1,68,28,2.5,2.5,True
5,2,69,32,5.5,1.5,True
6,2,76,45,6.5,1.5,True
7,2,54,9,5.5,2.5,True
8,2,69,40,6.5,2.5,True
9,3,91,43,9.5,1.5,True
10,3,55,45,10.5,1.5,True
11,3,56,36,9.5,2.5,True
12,3,61,13,10.5,2.5,True
13,4,63,29,13.5,1.5,True
14,4,93,19,14.5,1.5,True
15,4,62,53,13.5,2.5,True
16,4,67,42,14.5,2.5,True
17,5,51,25,17.5,1.5,True
18,5,41,36,18.5,1.5,True
19,5,74,48,17.5,2.5,True
20,5,75,15,18.5,2.5,True
21,6,49,45,1.5,5.5,True
22,6,56,50,2.5,5.5,True
23,6,59,55,1.5,6.5,True
24,6,49,37,2.5,6.5,True
25,7,79,52,5.5,5.5,True
26,7,52,69,6.5,5.5,True
27,7,45,45,5.5,6.5,True
28,7,62,23,6.5,6.5,True
29,8,73,51,9.5,5.5,True
30,8,51,21,10.5,5.5,True
31,8,88,34,9.5,6.5,True
32,8,57,50,10.5,6.5,True
33,9,56,36,13.5,5.5,True
34,9,70,42,14.5,5.5,True
35,9,81,53,13.5,6.5,True
36,9,58,48,14.5,6.5,True
37,10,88,41,17.5,5.5,True
38,10,72,51,18.5,5.5,True
39,10,61,35,17.5,6.5,True
40,10,41,22,18.5,6.5,True
41,11,79,41,1.5,9.5,True
42,11,60,43,2.5,9.5,True
43,11,54,22,1.5,10.5,True
44,11,57,50,2.5,10.5,True
45,12,55,69,5.5,9.5,True
46,12,60,52,6.5,9.5,True
47,12,60,46,5.5,10.5,True
48,12,75,37,6.5,10.5,True
49,13,59,49,9.5,9.5,True
50,13,68,64,10.5,9.5,True
51,13,36,56,9.5,10.5,True
52,13,29,34,10.5,10.5,True
53,14,69,54,13.5,9.5,True
54,14,78,10,14.5,9.5,True
55,14,56,38,13.5,10.5,True
56,14,49,68,14.5,10.5,True
57,15,59,39,17.5,9.5,True
58,15,95,35,18.5,9.5,True
59,15,60,62,17.5,10.5,True
60,15,59,44,18.5,10.5,True
61,16,54,38,1.5,13.5,True
62,16,73,21,2.5,13.5,True
63,16,64,63,1.5,14.5,True
64,16,53,58,2.5,14.5,True
65,17,63,64,5.5,13.5,True
66,17,78,81,6.5,13.5,True
67,17,61,52,5.5,14.5,True
68,17,64,30,6.5,14.5,True
69,18,51,63,9.5,13.5,True
70,18,45,56,10.5,13.5,True
71,18,51,27,9.5,14.5,True
72,18,43,62,10.5,14.5,True
73,19,64,48,13.5,13.5,True
74,19,81,42,14.5,13.5,True
75,19,58,43,13.5,14.5,True
76,19,71,73,14.5,14.5,True
77,20,77,44,17.5,13.5,True
78,20,83,48,18.5,13.5,True
79,20,51,46,17.5,14.5,True
80,20,68,51,18.5,14.5,True
81,21,61,27,1.5,17.5,True
82,21,59,57,2.5,17.5,True
83,21,50,63,1.5,18.5,True
84,21,70,58,2.5,18.5,True
85,22,61,39,5.5,17.5,True
86,22,45,53,6.5,17.5,True
87,22,71,49,5.5,18.5,True
88,22,57,22,6.5,18.5,True
89,23,70,44,9.5,17.5,True
90,23,65,35,10.5,17.5,True
91,23,88,56,9.5,18.5,True
92,23,74,57,10.5,18.5,True
93,24,60,49,13.5,17.5,True
94,24,73,49,14.5,17.5,True
95,24,66,34,13.5,18.5,True
96,24,55,61,14.5,18.5,True
97,25,94,30,17.5,17.5,True
98,25,78,26,18.5,17.5,True
99,25,45,31,17.5,18.5,True
100,25,44,52,18.5,18.5,True
