Student_ID,Group_ID,Cleanliness,Noise
1,1,53,38
2,1,78,18
3,1,65,69
4,1,89,10
5,1,48,42
6,1,40,29
7,1,57,61
8,1,59,43
9,1,67,48
10,1,60,22
11,2,71,46
12,2,43,29
13,2,73,49
14,2,49,35
15,2,57,49
16,2,78,40
17,3,77,53
18,3,63,18
19,4,44,51
20,4,34,41
21,4,75,42
22,4,50,27
23,5,72,47
24,5,55,55
25,5,72,66
26,5,68,37
27,5,57,10
28,5,62,39
29,5,40,39
30,5,80,28
31,5,45,56
32,5,69,85
33,5,40,50
34,6,64,40
35,6,73,39
36,6,30,27
37,6,80,57
38,6,54,47
39,6,100,39
40,6,59,42
41,6,69,34
42,6,69,10
43,7,65,40
44,7,56,32
45,7,50,27
46,7,25,35
47,7,76,34
48,7,69,23
49,7,40,28
50,8,44,22
51,8,66,66
52,8,49,14
53,8,69,18
54,8,42,47
55,8,57,29
56,8,61,33
57,8,88,29
58,8,46,33
59,9,53,48
60,9,30,46
61,9,51,51
62,9,59,47
63,9,54,46
64,9,84,28
65,9,58,32
66,9,83,33
67,9,49,31
68,10,57,28
69,10,54,42
70,10,58,52
71,10,55,36
72,11,64,73
73,12,48,68
74,13,42,43
75,13,54,27
76,13,70,48
77,13,52,8
78,13,53,42
79,13,60,51
80,13,89,46
81,13,68,42
82,13,77,47
83,13,71,67
84,14,63,35
85,14,66,57
86,14,67,55
87,14,49,26
88,15,51,20
89,15,61,33
90,15,78,20
91,15,83,25
92,15,41,27
93,15,89,39
94,15,67,37
95,16,58,32
96,16,60,47
97,17,85,11
98,17,84,47
99,17,54,31
100,18,75,43
