student_id,group_id,brightness_preference,noise_preference
1,1,66,43
2,1,50,35
3,1,56,31
4,1,55,19
5,1,38,37
6,2,70,37
7,2,57,38
8,2,83,59
9,2,80,53
10,2,61,18
11,3,70,57
12,3,69,28
13,3,38,22
14,3,69,32
15,3,79,19
16,4,50,36
17,4,82,35
18,4,68,23
19,4,59,48
20,4,60,44
21,5,55,49
22,5,51,33
23,5,74,41
24,5,50,39
25,5,32,40
26,6,55,5
27,6,58,49
28,6,54,42
29,6,73,29
30,6,77,17
31,7,55,25
32,7,69,48
33,7,45,55
34,7,38,47
35,7,60,35
36,8,67,15
37,8,69,36
38,8,79,49
39,8,81,25
40,8,61,45
41,9,68,48
42,9,66,38
43,9,84,32
44,9,35,25
45,9,62,43
46,10,69,38
47,10,72,49
48,10,74,49
49,10,51,48
50,10,47,37
51,11,86,40
52,11,65,40
53,11,60,17
54,11,71,49
55,11,66,23
56,12,52,29
57,12,44,18
58,12,87,32
59,12,76,45
60,12,29,28
