table_id,average_brightness,average_noise,table_x,table_y
1,70.25,44.75,2.0,2.0
2,67.0,31.5,6.0,2.0
3,65.75,34.25,10.0,2.0
4,71.25,35.75,14.0,2.0
5,60.25,31.0,18.0,2.0
6,53.25,46.75,2.0,6.0
7,59.5,47.25,6.0,6.0
8,67.25,39.0,10.0,6.0
9,66.25,44.75,14.0,6.0
10,65.5,37.25,18.0,6.0
11,62.5,39.0,2.0,10.0
12,62.5,51.0,6.0,10.0
13,48.0,50.75,10.0,10.0
14,63.0,42.5,14.0,10.0
15,68.25,45.0,18.0,10.0
16,61.0,45.0,2.0,14.0
17,66.5,56.75,6.0,14.0
18,47.5,52.0,10.0,14.0
19,68.5,51.5,14.0,14.0
20,69.75,47.25,18.0,14.0
21,60.0,51.25,2.0,18.0
22,58.5,40.75,6.0,18.0
23,74.25,48.0,10.0,18.0
24,63.5,48.25,14.0,18.0
25,65.25,34.75,18.0,18.0
