Problem_Instance,Algorithm,Success_Rate_%,Runtime_ms,Objective_Value,Optimality_Gap_%
30 seats 8 groups,Greedy Heuristic,87.5,12.3,245.3,23.452440865626585
30 seats 8 groups,Myopic ILP,100.0,145.6,198.7,0.0
30 seats 8 groups,SketchRefine Algorithm,87.5,89.4,203.1,2.214393558127834
45 seats 12 groups,Greedy Heuristic,83.3,18.7,387.6,24.0717029449424
45 seats 12 groups,Myopic ILP,91.7,234.8,312.4,0.0
45 seats 12 groups,SketchRefine Algorithm,75.0,156.3,325.8,4.289372599231765
60 seats 16 groups,Greedy Heuristic,81.2,25.4,512.8,21.66073546856464
60 seats 16 groups,Myopic ILP,87.5,356.7,421.5,0.0
60 seats 16 groups,SketchRefine Algorithm,68.7,223.1,438.9,4.128113879003553
75 seats 20 groups,Greedy Heuristic,75.0,34.2,678.4,19.478689679464605
75 seats 20 groups,Myopic ILP,80.0,512.3,567.8,0.0
75 seats 20 groups,SketchRefine Algorithm,60.0,334.7,589.4,3.804156393096165
90 seats 24 groups,Greedy Heuristic,70.8,45.6,856.7,18.476006084912186
90 seats 24 groups,Myopic ILP,75.0,698.4,723.1,0.0
90 seats 24 groups,SketchRefine Algorithm,54.2,456.8,751.2,3.8860461900152155
