Seat_ID,Table_ID,Room_ID,Brightness,Noise,Seat_Available,Table_Available,Room_Available
1,1,1,81,58,True,True,True
2,1,1,79,24,True,True,True
3,1,1,84,20,True,True,True
4,1,1,82,75,True,True,True
5,1,1,78,31,True,True,True
6,1,1,74,49,True,True,True
7,1,1,72,28,True,True,True
8,1,1,76,64,True,True,True
9,1,1,76,42,True,True,True
10,1,1,71,46,True,True,True
11,2,1,78,54,True,True,True
12,2,1,79,10,True,True,True
13,2,1,82,31,True,True,True
14,2,1,76,46,True,True,True
15,2,1,82,4,True,True,True
16,2,1,76,7,True,True,True
17,2,1,71,78,True,True,True
18,2,1,73,31,True,True,True
19,2,1,76,20,True,True,True
20,2,1,74,74,True,True,True
21,3,1,83,72,True,True,True
22,3,1,82,23,True,True,True
23,3,1,80,22,True,True,True
24,3,1,82,27,True,True,True
25,3,1,82,80,True,True,True
26,3,1,80,15,True,True,True
27,3,1,77,80,True,True,True
28,3,1,80,53,True,True,True
29,3,1,76,31,True,True,True
30,3,1,75,75,True,True,True
31,4,1,84,22,True,True,True
32,4,1,78,24,True,True,True
33,4,1,82,74,True,True,True
34,4,1,80,81,True,True,True
35,4,1,77,29,True,True,True
36,4,1,75,88,True,True,True
37,4,1,76,47,True,True,True
38,4,1,75,7,True,True,True
39,4,1,75,62,True,True,True
40,4,1,77,40,True,True,True
41,5,1,74,21,True,True,True
42,5,1,79,56,True,True,True
43,5,1,79,10,True,True,True
44,5,1,80,93,True,True,True
45,5,1,83,35,True,True,True
46,5,1,78,33,True,True,True
47,5,1,77,17,True,True,True
48,5,1,82,24,True,True,True
49,5,1,76,41,True,True,True
50,5,1,74,47,True,True,True
51,6,1,68,52,True,True,True
52,6,1,73,73,True,True,True
53,6,1,69,88,True,True,True
54,6,1,71,34,True,True,True
55,6,1,72,48,True,True,True
56,6,1,71,18,True,True,True
57,6,1,68,27,True,True,True
58,6,1,70,67,True,True,True
59,6,1,68,43,True,True,True
60,6,1,69,38,True,True,True
61,7,1,72,4,True,True,True
62,7,1,69,61,True,True,True
63,7,1,68,48,True,True,True
64,7,1,73,35,True,True,True
65,7,1,74,58,True,True,True
66,7,1,69,8,True,True,True
67,7,1,65,94,True,True,True
68,7,1,65,83,True,True,True
69,7,1,68,55,True,True,True
70,7,1,72,35,True,True,True
71,8,1,68,90,True,True,True
72,8,1,73,78,True,True,True
73,8,1,73,99,True,True,True
74,8,1,71,28,True,True,True
75,8,1,70,32,True,True,True
76,8,1,70,84,True,True,True
77,8,1,65,70,True,True,True
78,8,1,68,11,True,True,True
79,8,1,69,62,True,True,True
80,8,1,69,26,True,True,True
81,9,1,73,89,True,True,True
82,9,1,73,56,True,True,True
83,9,1,73,64,True,True,True
84,9,1,75,77,True,True,True
85,9,1,69,42,True,True,True
86,9,1,67,57,True,True,True
87,9,1,70,1,True,True,True
88,9,1,63,78,True,True,True
89,9,1,68,75,True,True,True
90,9,1,64,43,True,True,True
91,10,1,72,60,True,True,True
92,10,1,70,70,True,True,True
93,10,1,65,76,True,True,True
94,10,1,72,43,True,True,True
95,10,1,73,46,True,True,True
96,10,1,70,26,True,True,True
97,10,1,73,49,True,True,True
98,10,1,69,98,True,True,True
99,10,1,74,48,True,True,True
100,10,1,71,36,True,True,True
101,11,1,65,43,True,True,True
102,11,1,66,55,True,True,True
103,11,1,63,33,True,True,True
104,11,1,60,42,True,True,True
105,11,1,68,66,True,True,True
106,11,1,55,45,True,True,True
107,11,1,60,12,True,True,True
108,11,1,58,82,True,True,True
109,11,1,64,57,True,True,True
110,11,1,56,78,True,True,True
111,12,1,64,7,True,True,True
112,12,1,62,71,True,True,True
113,12,1,62,14,True,True,True
114,12,1,66,67,True,True,True
115,12,1,66,24,True,True,True
116,12,1,61,87,True,True,True
117,12,1,59,36,True,True,True
118,12,1,60,39,True,True,True
119,12,1,59,86,True,True,True
120,12,1,63,19,True,True,True
121,13,1,67,38,True,True,True
122,13,1,64,21,True,True,True
123,13,1,64,96,True,True,True
124,13,1,63,54,True,True,True
125,13,1,60,63,True,True,True
126,13,1,56,86,True,True,True
127,13,1,59,11,True,True,True
128,13,1,57,67,True,True,True
129,13,1,57,16,True,True,True
130,13,1,59,44,True,True,True
131,14,1,64,17,True,True,True
132,14,1,62,43,True,True,True
133,14,1,59,89,True,True,True
134,14,1,59,98,True,True,True
135,14,1,61,82,True,True,True
136,14,1,59,68,True,True,True
137,14,1,59,10,True,True,True
138,14,1,56,3,True,True,True
139,14,1,60,58,True,True,True
140,14,1,57,94,True,True,True
141,15,1,66,40,True,True,True
142,15,1,62,20,True,True,True
143,15,1,64,12,True,True,True
144,15,1,64,96,True,True,True
145,15,1,68,59,True,True,True
146,15,1,62,68,True,True,True
147,15,1,66,24,True,True,True
148,15,1,57,51,True,True,True
149,15,1,57,100,True,True,True
150,15,1,60,57,True,True,True
151,16,1,58,45,True,True,True
152,16,1,54,87,True,True,True
153,16,1,52,88,True,True,True
154,16,1,61,1,True,True,True
155,16,1,59,92,True,True,True
156,16,1,50,52,True,True,True
157,16,1,51,49,True,True,True
158,16,1,55,18,True,True,True
159,16,1,52,89,True,True,True
160,16,1,52,75,True,True,True
161,17,1,52,97,True,True,True
162,17,1,55,34,True,True,True
163,17,1,51,14,True,True,True
164,17,1,59,64,True,True,True
165,17,1,59,57,True,True,True
166,17,1,52,79,True,True,True
167,17,1,53,47,True,True,True
168,17,1,56,1,True,True,True
169,17,1,55,29,True,True,True
170,17,1,46,77,True,True,True
171,18,1,60,33,True,True,True
172,18,1,56,89,True,True,True
173,18,1,50,70,True,True,True
174,18,1,55,50,True,True,True
175,18,1,52,3,True,True,True
176,18,1,54,4,True,True,True
177,18,1,53,27,True,True,True
178,18,1,49,80,True,True,True
179,18,1,49,21,True,True,True
180,18,1,53,26,True,True,True
181,19,1,55,28,True,True,True
182,19,1,52,61,True,True,True
183,19,1,53,89,True,True,True
184,19,1,56,6,True,True,True
185,19,1,57,25,True,True,True
186,19,1,54,30,True,True,True
187,19,1,47,63,True,True,True
188,19,1,56,6,True,True,True
189,19,1,53,56,True,True,True
190,19,1,52,9,True,True,True
191,20,1,51,28,True,True,True
192,20,1,56,7,True,True,True
193,20,1,54,18,True,True,True
194,20,1,52,61,True,True,True
195,20,1,55,11,True,True,True
196,20,1,56,63,True,True,True
197,20,1,48,28,True,True,True
198,20,1,51,58,True,True,True
199,20,1,47,4,True,True,True
200,20,1,53,24,True,True,True
201,21,1,46,38,True,True,True
202,21,1,45,11,True,True,True
203,21,1,48,8,True,True,True
204,21,1,47,99,True,True,True
205,21,1,46,34,True,True,True
206,21,1,46,82,True,True,True
207,21,1,38,74,True,True,True
208,21,1,45,29,True,True,True
209,21,1,39,13,True,True,True
210,21,1,44,32,True,True,True
211,22,1,47,42,True,True,True
212,22,1,44,23,True,True,True
213,22,1,51,34,True,True,True
214,22,1,46,82,True,True,True
215,22,1,40,39,True,True,True
216,22,1,41,90,True,True,True
217,22,1,45,74,True,True,True
218,22,1,42,15,True,True,True
219,22,1,47,16,True,True,True
220,22,1,44,24,True,True,True
221,23,1,49,56,True,True,True
222,23,1,46,38,True,True,True
223,23,1,51,52,True,True,True
224,23,1,46,50,True,True,True
225,23,1,48,38,True,True,True
226,23,1,49,31,True,True,True
227,23,1,44,19,True,True,True
228,23,1,46,51,True,True,True
229,23,1,45,57,True,True,True
230,23,1,42,86,True,True,True
231,24,1,46,35,True,True,True
232,24,1,45,12,True,True,True
233,24,1,49,37,True,True,True
234,24,1,49,17,True,True,True
235,24,1,47,73,True,True,True
236,24,1,41,35,True,True,True
237,24,1,46,57,True,True,True
238,24,1,48,27,True,True,True
239,24,1,38,69,True,True,True
240,24,1,48,32,True,True,True
241,25,1,55,18,True,True,True
242,25,1,48,82,True,True,True
243,25,1,49,45,True,True,True
244,25,1,48,59,True,True,True
245,25,1,52,89,True,True,True
246,25,1,42,44,True,True,True
247,25,1,44,52,True,True,True
248,25,1,47,7,True,True,True
249,25,1,40,68,True,True,True
250,25,1,39,27,True,True,True
251,26,1,38,30,True,True,True
252,26,1,45,4,True,True,True
253,26,1,31,78,True,True,True
254,26,1,39,59,True,True,True
255,26,1,39,20,True,True,True
256,26,1,32,58,True,True,True
257,26,1,36,38,True,True,True
258,26,1,35,24,True,True,True
259,26,1,35,42,True,True,True
260,26,1,34,80,True,True,True
261,27,1,32,57,True,True,True
262,27,1,43,24,True,True,True
263,27,1,35,53,True,True,True
264,27,1,37,4,True,True,True
265,27,1,42,5,True,True,True
266,27,1,39,34,True,True,True
267,27,1,34,48,True,True,True
268,27,1,37,5,True,True,True
269,27,1,38,78,True,True,True
270,27,1,37,47,True,True,True
271,28,1,41,2,True,True,True
272,28,1,39,21,True,True,True
273,28,1,40,67,True,True,True
274,28,1,36,77,True,True,True
275,28,1,37,49,True,True,True
276,28,1,31,53,True,True,True
277,28,1,29,39,True,True,True
278,28,1,41,73,True,True,True
279,28,1,35,86,True,True,True
280,28,1,39,41,True,True,True
281,29,1,40,48,True,True,True
282,29,1,34,17,True,True,True
283,29,1,40,26,True,True,True
284,29,1,41,19,True,True,True
285,29,1,40,32,True,True,True
286,29,1,33,65,True,True,True
287,29,1,36,60,True,True,True
288,29,1,38,39,True,True,True
289,29,1,30,42,True,True,True
290,29,1,32,35,True,True,True
291,30,1,40,28,True,True,True
292,30,1,37,28,True,True,True
293,30,1,37,55,True,True,True
294,30,1,43,69,True,True,True
295,30,1,37,6,True,True,True
296,30,1,38,42,True,True,True
297,30,1,43,36,True,True,True
298,30,1,35,2,True,True,True
299,30,1,35,54,True,True,True
300,30,1,41,37,True,True,True
301,31,1,33,32,True,True,True
302,31,1,34,22,True,True,True
303,31,1,31,31,True,True,True
304,31,1,33,85,True,True,True
305,31,1,33,66,True,True,True
306,31,1,31,30,True,True,True
307,31,1,29,32,True,True,True
308,31,1,28,71,True,True,True
309,31,1,24,90,True,True,True
310,31,1,31,80,True,True,True
311,32,1,32,37,True,True,True
312,32,1,32,12,True,True,True
313,32,1,30,14,True,True,True
314,32,1,31,35,True,True,True
315,32,1,31,64,True,True,True
316,32,1,26,33,True,True,True
317,32,1,28,21,True,True,True
318,32,1,30,71,True,True,True
319,32,1,28,86,True,True,True
320,32,1,31,94,True,True,True
321,33,1,30,59,True,True,True
322,33,1,36,90,True,True,True
323,33,1,30,63,True,True,True
324,33,1,36,23,True,True,True
325,33,1,27,25,True,True,True
326,33,1,25,1,True,True,True
327,33,1,27,34,True,True,True
328,33,1,28,39,True,True,True
329,33,1,30,80,True,True,True
330,33,1,27,46,True,True,True
331,34,1,32,56,True,True,True
332,34,1,33,24,True,True,True
333,34,1,30,78,True,True,True
334,34,1,30,20,True,True,True
335,34,1,36,45,True,True,True
336,34,1,26,75,True,True,True
337,34,1,28,58,True,True,True
338,34,1,23,18,True,True,True
339,34,1,26,90,True,True,True
340,34,1,26,87,True,True,True
341,35,1,33,9,True,True,True
342,35,1,38,26,True,True,True
343,35,1,31,5,True,True,True
344,35,1,37,43,True,True,True
345,35,1,31,58,True,True,True
346,35,1,31,77,True,True,True
347,35,1,30,38,True,True,True
