Student_ID,Group_ID,Brightness,Noise,Flexibility
S001,1,76,15,2
S002,1,95,36,3
S003,1,45,24,4
S004,1,68,37,5
S005,1,89,56,3
S006,1,47,36,3
S007,1,10,41,2
S008,1,66,61,4
S009,1,40,43,4
S010,1,48,35,4
S011,1,64,25,3
S012,1,70,41,5
S013,1,69,56,4
S014,1,82,33,2
S015,2,39,35,2
S016,2,56,31,4
S017,3,52,25,3
S018,3,35,54,3
S019,3,36,36,2
S020,3,57,33,5
S021,3,42,20,4
S022,3,65,37,4
S023,3,62,47,3
S024,3,77,39,4
S025,3,93,41,5
S026,3,100,39,2
S027,3,87,39,2
S028,3,38,52,3
S029,3,60,39,3
S030,3,65,30,2
S031,3,60,43,5
S032,3,63,54,3
S033,4,25,36,2
S034,4,51,49,4
S035,4,85,34,4
S036,4,62,32,3
S037,4,73,47,5
S038,4,66,46,5
S039,4,61,40,4
S040,4,54,39,2
S041,4,45,31,3
S042,4,61,31,5
S043,4,43,39,3
S044,4,69,54,3
S045,4,34,33,3
S046,4,61,31,5
S047,5,34,55,1
S048,5,34,25,4
S049,5,18,47,3
S050,6,69,49,5
S051,6,65,31,1
S052,6,10,38,5
S053,6,77,42,2
S054,6,29,28,2
S055,6,41,56,5
S056,6,72,35,4
S057,6,86,44,1
S058,6,89,44,2
S059,6,75,35,5
S060,6,64,46,5
S061,6,64,37,1
S062,6,89,40,5
S063,6,51,36,2
S064,6,62,37,1
S065,6,49,33,5
S066,6,34,47,3
S067,6,63,36,1
S068,6,77,62,4
S069,7,84,26,3
S070,7,71,33,2
S071,7,79,20,3
S072,7,43,43,3
S073,7,59,53,3
S074,8,75,32,2
S075,8,64,28,3
S076,8,63,37,3
S077,8,54,59,3
S078,8,71,34,2
S079,8,36,46,5
S080,8,43,41,3
S081,8,44,38,5
S082,8,100,40,3
S083,8,54,36,2
S084,8,18,31,2
S085,8,69,23,4
S086,8,75,24,1
S087,8,20,24,5
S088,8,69,39,5
S089,8,53,44,3
S090,8,81,56,5
S091,8,75,48,3
S092,9,77,28,3
S093,9,28,46,1
S094,9,61,52,5
S095,9,62,38,4
S096,9,67,43,2
S097,9,84,17,5
S098,9,90,38,5
S099,9,63,32,2
S100,9,60,40,4
S101,9,61,35,2
S102,9,59,51,4
S103,9,90,56,1
S104,10,87,43,1
S105,11,55,58,5
S106,11,35,41,2
S107,11,78,43,5
S108,11,24,44,5
S109,11,47,30,2
S110,11,39,34,3
S111,11,37,50,1
S112,11,91,30,2
S113,11,36,29,5
S114,11,78,43,4
S115,11,28,48,1
S116,11,35,44,3
S117,11,56,33,3
S118,11,66,42,1
S119,11,51,33,1
S120,11,51,50,3
S121,11,66,44,4
S122,12,70,59,5
S142,13,100,27,5
S143,13,18,36,2
S144,13,76,35,5
S145,13,56,48,1
S146,13,43,38,4
S147,14,68,22,4
S148,14,100,28,4
S149,15,46,42,2
S150,15,51,38,2
S151,15,90,61,4
S152,15,23,25,3
S153,15,56,21,5
S154,15,51,36,2
S155,15,66,43,3
S156,16,74,32,4
S157,16,64,50,1
S158,16,39,27,3
S159,16,55,46,2
S160,16,72,29,3
S161,16,67,38,4
S162,16,31,17,3
S163,16,46,28,4
S164,17,56,31,1
S165,17,61,33,3
S166,17,40,48,2
S167,17,66,12,5
S168,17,49,44,5
S169,17,27,37,2
S170,17,69,40,3
S171,17,71,32,2
S172,17,83,28,2
S173,17,51,41,1
S174,17,58,43,3
S175,17,8,45,4
S176,17,45,18,1
S177,18,46,40,3
S178,18,95,40,5
S179,18,54,25,2
S180,18,36,29,4
S181,18,56,33,4
S182,18,66,39,3
S183,18,51,29,1
S184,18,46,41,4
S185,18,42,51,1
S186,18,92,42,3
S187,18,73,30,1
S188,18,69,49,5
S189,18,36,42,1
S190,18,44,40,1
S191,18,79,38,5
S192,19,57,32,1
S193,19,70,58,4
S194,19,54,42,2
S195,19,81,53,4
S196,19,35,30,1
S197,19,71,40,5
S198,19,87,46,5
S199,19,74,32,3
S200,19,62,53,1
