Problem_Instance,Algorithm,Success_Rate_%,Runtime_ms,Objective_Value,Optimality_Gap_%
48 seats 12 groups,Greedy Heuristic,95.0,15.2,287.4,28.418230563002666
48 seats 12 groups,Myopic ILP,100.0,184.5,223.8,0.0
48 seats 12 groups,SketchRefine Algorithm,91.7,108.7,235.1,5.0491510277032985
72 seats 18 groups,Greedy Heuristic,88.9,28.4,485.7,28.356236786469353
72 seats 18 groups,Myopic ILP,94.4,387.2,378.4,0.0
72 seats 18 groups,SketchRefine Algorithm,83.3,234.1,396.8,4.862579281183941
96 seats 24 groups,Greedy Heuristic,83.3,45.7,723.1,28.459761947059874
96 seats 24 groups,Myopic ILP,87.5,672.8,562.9,0.0
96 seats 24 groups,SketchRefine Algorithm,75.0,445.9,591.3,5.045301119204117
120 seats 30 groups,Greedy Heuristic,76.7,68.1,1048.6,28.55216378570551
120 seats 30 groups,Myopic ILP,83.3,1145.3,815.7,0.0
120 seats 30 groups,SketchRefine Algorithm,66.7,798.2,856.4,4.989579502267983
144 seats 36 groups,Greedy Heuristic,72.2,95.3,1389.2,28.38000184825803
144 seats 36 groups,Myopic ILP,80.6,1789.6,1082.1,0.0
144 seats 36 groups,SketchRefine Algorithm,58.3,1285.4,1136.7,5.045744385916287
