Problem_Instance,Algorithm,Success_Rate_%,Runtime_ms,Objective_Value,Optimality_Gap_%
48 seats 12 groups,Greedy Heuristic,91.7,18.4,345.7,15.851206434316358
48 seats 12 groups,Myopic ILP,100.0,234.6,298.4,0.0
48 seats 12 groups,SketchRefine Algorithm,83.3,145.2,312.8,4.825737265415561
72 seats 18 groups,Greedy Heuristic,83.3,34.7,612.4,16.93717777353445
72 seats 18 groups,Myopic ILP,88.9,467.8,523.7,0.0
72 seats 18 groups,SketchRefine Algorithm,72.2,289.6,548.9,4.811915218636611
96 seats 24 groups,Greedy Heuristic,75.0,56.2,934.8,17.128179426137066
96 seats 24 groups,Myopic ILP,83.3,812.4,798.1,0.0
96 seats 24 groups,SketchRefine Algorithm,62.5,478.3,836.7,4.836486655807545
120 seats 30 groups,Greedy Heuristic,70.0,82.6,1356.2,18.414389242993114
120 seats 30 groups,Myopic ILP,76.7,1354.7,1145.3,0.0
120 seats 30 groups,SketchRefine Algorithm,53.3,756.1,1202.4,4.985593294333374
144 seats 36 groups,Greedy Heuristic,63.9,115.8,1845.6,17.719096823574436
144 seats 36 groups,Myopic ILP,69.4,2156.3,1567.8,0.0
144 seats 36 groups,SketchRefine Algorithm,44.4,1123.4,1634.1,4.228855721393032
